source_id,source_commit,source_path,qualified_symbol,line,source_file_sha256,decorators,proposed_phase,native_mapping_status,production_call_path_status,speed_gate_status,memory_gate_status
backend/agent/series_summary.py::series_summary,9b99048d188017816358f581a86b27df1c388161,backend/agent/series_summary.py,series_summary,30,f7cdb54b59d271843f2d45fa1add29033698a55dd39f20dd7c61964f9a827e8a,"njit(SUMMARY_SIGNATURE, cache=True, nogil=True)",M2,pending_assessment,pending_trace,pending_baseline,pending_baseline
backend/auto_class_numba.py::robust_standardize_kernel,9b99048d188017816358f581a86b27df1c388161,backend/auto_class_numba.py,robust_standardize_kernel,42,c22329bce7b7d466211154ec827cb6e68f032f9315a595de244e26389557a5eb,"njit(_F2(_F2), cache=False, nogil=True)",M5,pending_assessment,pending_trace,pending_baseline,pending_baseline
backend/auto_class_numba.py::winsorize_returns_kernel,9b99048d188017816358f581a86b27df1c388161,backend/auto_class_numba.py,winsorize_returns_kernel,87,c22329bce7b7d466211154ec827cb6e68f032f9315a595de244e26389557a5eb,"njit(types.Tuple((_F2, _I1, _F1))(_F2, float64), cache=False, nogil=True)",M5,pending_assessment,pending_trace,pending_baseline,pending_baseline
backend/auto_class_numba.py::correlation_matrix_kernel,9b99048d188017816358f581a86b27df1c388161,backend/auto_class_numba.py,correlation_matrix_kernel,146,c22329bce7b7d466211154ec827cb6e68f032f9315a595de244e26389557a5eb,"njit(_F2(_F2), cache=False, nogil=True)",M5,pending_assessment,pending_trace,pending_baseline,pending_baseline
backend/auto_class_numba.py::corr_to_distance_kernel,9b99048d188017816358f581a86b27df1c388161,backend/auto_class_numba.py,corr_to_distance_kernel,184,c22329bce7b7d466211154ec827cb6e68f032f9315a595de244e26389557a5eb,"njit(_F2(_F2), cache=False, nogil=True)",M5,pending_assessment,pending_trace,pending_baseline,pending_baseline
backend/auto_class_numba.py::euclidean_distance_kernel,9b99048d188017816358f581a86b27df1c388161,backend/auto_class_numba.py,euclidean_distance_kernel,204,c22329bce7b7d466211154ec827cb6e68f032f9315a595de244e26389557a5eb,"njit(_F2(_F2), cache=False, nogil=True)",M5,pending_assessment,pending_trace,pending_baseline,pending_baseline
backend/auto_class_numba.py::pca_features_kernel,9b99048d188017816358f581a86b27df1c388161,backend/auto_class_numba.py,pca_features_kernel,220,c22329bce7b7d466211154ec827cb6e68f032f9315a595de244e26389557a5eb,"njit(_F2(_F2, int64), cache=False, nogil=True)",M5,pending_assessment,pending_trace,pending_baseline,pending_baseline
backend/auto_class_numba.py::correlation_eigenvalues_kernel,9b99048d188017816358f581a86b27df1c388161,backend/auto_class_numba.py,correlation_eigenvalues_kernel,261,c22329bce7b7d466211154ec827cb6e68f032f9315a595de244e26389557a5eb,"njit(_F1(_F2), cache=False, nogil=True)",M5,pending_assessment,pending_trace,pending_baseline,pending_baseline
backend/auto_class_numba.py::agglomerative_linkage_kernel,9b99048d188017816358f581a86b27df1c388161,backend/auto_class_numba.py,agglomerative_linkage_kernel,282,c22329bce7b7d466211154ec827cb6e68f032f9315a595de244e26389557a5eb,"njit(_F2(_F2, int64), cache=False, nogil=True)",M5,pending_assessment,pending_trace,pending_baseline,pending_baseline
backend/auto_class_numba.py::cut_linkage_kernel,9b99048d188017816358f581a86b27df1c388161,backend/auto_class_numba.py,cut_linkage_kernel,364,c22329bce7b7d466211154ec827cb6e68f032f9315a595de244e26389557a5eb,"njit(_I1(_F2, int64, int64), cache=False, nogil=True)",M5,pending_assessment,pending_trace,pending_baseline,pending_baseline
